notes,start,finish,Title,Share_Link,Description
,2020-Nov-10 11:00,2020-Nov-10 11:45,Panel: Managing in a Crisis: How an HBCU Library is Adapting Digital and Archival Workflows in a Rapidly Changing World,https://2020clirevents.aviaryplatform.com/r/v40js9hx2v,"This panel presentation will address how one HBCU-affiliated library, the Atlanta University Center Robert W. Woodruff Library, tackled adjusting archival processes and workflows in response to the COVID-19 pandemic. It will also discuss how the Library is seeking to collect archival collections more responsively and actively in our changing world."
,2020-Nov-10 12:00,2020-Nov-10 12:45,Combo Session: Incorporating community vocabularies to broaden access,https://2020clirevents.aviaryplatform.com/r/d79571855s,"This talk shares experiences in identifying ways to disrupt metadata bias. The goal of these efforts is to arrive at a process that identifies and incorporates controlled vocabularies from marginalized communities, that respects their interests, and is not hindered by metadata formats or system technology.|Too often when documenting movement, the community within which dances are created is ignored or overlooked. By combining insights from knowledgeable members of the communities themselves with new technological tools we can improve the interdisciplinary study of dance and other forms of movement through structured data and well-curated digital resources. |This presentation describes the metadata schema, content standard, and taxonomy guidelines created for Curationist.org, a crowd-sourced, multilingual aggregator of open access cultural content. Designed to accommodate multiple layers of metadata and to reflect Curationist’s progressive values, eventually, this collectively enhanced dataset will be available as linked open data."
,2020-Nov-10 12:00,2020-Nov-10 12:45,"Panel: US Latino DH: Recovering the Past, Creating the Future",https://2020clirevents.aviaryplatform.com/r/3n20c4t04c,This panel focuses on the use of underrepresented US Latinx archives and digital humanities to reconfigure how we understand the past and imagine a more inclusive future through. The turn to the past allows to interrogate and rewrite/reimagine a US history where Latinx voices are not disregarded or erased.
,2020-Nov-10 14:00,2020-Nov-10 14:45,HBCULA Partner Combo Session: Digitally Documenting and Preserving the Heritage of HBCU Institutions,https://2020clirevents.aviaryplatform.com/r/db7vm4393b,"The Atlanta University Center Robert W. Woodruff Library is home to extensive archival collections that document the history of HBCU education, campus and student life, and the development of higher education in Atlanta, along with collections related to civic and social organizations of Black communities in and around the south.|This presentation will highlight the early years of SC State University from 1896-1911 under the University’s first president, Thomas E. Miller.|The Oakwood University Archives was established in 1973, as a depository of historical records. Its aim is to preserve source materials related to Oakwood University, its constituents, and the community with reliable resources. The information housed includes but not limited to photographs, historical documents, yearbooks, and presidential papers."
,2020-Nov-10 14:00,2020-Nov-10 14:45,Panel: Finding a Good Fit: Scaling Best Practices for Born-Digital Material to Fit the Needs of Diverse Communities,https://2020clirevents.aviaryplatform.com/r/5t3fx7490g,"Many different types and sizes of institutions hold and continue to acquire born-digital materials in their collections, and seek flexible and sustainable solutions for stewarding these materials. This panel brings together three non-academic institutions who have navigated creating and maintaining digital programs in a variety of settings, for diverse audiences."
,2020-Nov-10 15:00,2020-Nov-10 15:45,Combo Session: Envisioning sustainable approaches to documentation and preservation,https://2020clirevents.aviaryplatform.com/r/0r9m32nh9c,"Keeping documentation isolated to individuals - in email inboxes or other single location - is unsustainable. We’ve aggregated documentation for 200+ digital collections into a central, shared repository. We’ll share how we did this, what we’re documenting, who has access, and why it was important to collaborate with internal and external stakeholders.|Digital Humanities (DH) projects are complex with multiple moving components in need of preservation. Early preservation planning for each component is a strategy for long-term access. This presentation will break down various components of a DH project, preservation approaches for those components, packaging methods for future recreation/emulation.|Digital artifacts pose new challenges for delayed-release archiving. To protect our historical record for future generations, we propose Strong Dark Archives (SDA), a blended administrative and technical protocol for securing delayed-released archival materials among networks of libraries."
,2020-Nov-10 15:00,2020-Nov-10 15:45,Panel: Emulation in Action,https://2020clirevents.aviaryplatform.com/r/s46h12vw6d,"This discussion panel highlights “emulation-in-action” within the EaaSI Network - a distributed, community-driven architecture that supports the exchange of software and configured emulation environments between institutions. Brief demonstrations followed by facilitated discussion will explore three distinct emulation use cases: electronic music composition, videogames, and social science data."
,2020-Nov-10 16:00,2020-Nov-10 16:45,Forum Closing Plenary,https://2020clirevents.aviaryplatform.com/r/v11vd6pp32,
,2020-Nov-12 11:00,2020-Nov-12 12:15,DigiPres Opening Plenary,https://2020clirevents.aviaryplatform.com/r/m32n58d597,
,2020-Nov-12 11:00,2020-Nov-12 12:15,NDSA Innovation Awards,https://2020clirevents.aviaryplatform.com/r/2f7jq0t35p,
,2020-Nov-12 12:30,2020-Nov-12 13:00,Get Active with the NDSA Brunch,https://2020clirevents.aviaryplatform.com/r/df6k06xc9v,
,2020-Nov-12 12:30,2020-Nov-12 13:00,DigiPres 2-D Virtual Lounge,,
,2020-Nov-12 12:30,2020-Nov-12 13:00,Get Active with the NDSA Brunch,,"Join us for an informal breakfast with members of NDSA’s Leadership Group, including Interest Group Chairs and the Coordinating Committee. Learn about NDSA, its current work, how your institution can become a member, and the variety of ways you can become involved. Pick up your breakfast before you join us!"
,2020-Nov-12 13:00,2020-Nov-12 13:45,Combo Session: #assessment #action,https://2020clirevents.aviaryplatform.com/r/dv1cj8830x,"In Fall 2019, NARA released a draft of its Digital Preservation Framework for public comment. We’ll discuss the past year’s work and what’s next as our holdings continue to grow. We hope by sharing about the framework and soliciting feedback, it will serve as a digital preservation community resource.|DiAGRAM is a decision support system, developed by The National Archives, the Applied Statistics & Risk Unit, and partner archives. It is based on a probabilistic graphical model that captures the complex interdependencies of risk events and allows archivists to quantitatively evaluate their impact and compare potential risk management strategies.|How are Canadians making active plays towards digital preservation? We will present the results of the CARL Digital Preservation Working Group survey of Canadian memory institutions, and the subsequent development of three focus areas to address key gaps in their ability to safely pass digital collections into the future."
,2020-Nov-12 13:00,2020-Nov-12 16:30,Panel: #policy #practice What’s Wrong with Digital Stewardship: Evaluating the Organization of Digital Preservation Programs from Practitioners’ Perspectives,https://2020clirevents.aviaryplatform.com/r/696zw19122,"The National Digital Stewardship Alliance surveyed practitioners in 2012 and 2017 to gauge, among other things, how satisfied they were with their organizations’ digital preservation function. This presentation will report the findings of a qualitative study that seeks to understand what causes the high levels of dissatisfaction that practitioners reported."
,2020-Nov-12 14:00,2020-Nov-12 14:45,Combo Session: #policy #practice,https://2020clirevents.aviaryplatform.com/r/bn9x05xs06,
,2020-Nov-12 14:00,2020-Nov-12 14:45,Panel: #sustainability #technology Thinking Outside the Inbox: New Developments in Email Archiving,https://2020clirevents.aviaryplatform.com/r/j96057dd93,
,2020-Nov-12 13:00,2020-Nov-12 16:30,Digital Preservation Slack Bingo,,
,2020-Nov-12 15:00,2020-Nov-12 15:45,Combo Session: #sustainability #technology,https://2020clirevents.aviaryplatform.com/r/cn6xw48940,"This presentation will describe the value of making organizational infrastructure (and specifically documentation) a central focus of your digital preservation program. Emphasis will be put on how documentation can help move your institution’s digital preservation project(s) to a programmatic enterprise on the level of other key library functions.|Harvard Library’s new preservation storage infrastructure relies on tiered storage and automated disposition of content based upon its formal characteristics and assessed curatorial value. The system is designed to embrace the widest range of storage technologies and providers, and offer enhanced operational flexibility and cost-minimization without sacrificing imperative stewardship goals.|The Texas Digital Library (TDL) and the University of California, San Diego Library (UCSD), are exploring the establishment of a distributed digital preservation service for sensitive data. The project, funded by IMLS, will develop a model for a DDP service that would close gaps in preservation offerings for such data."
,2020-Nov-12 15:00,2020-Nov-12 15:45,Panel: #assessment #action The Right Stuff (Over Time): Collaborative Approaches to Selection for Digital Preservation,https://2020clirevents.aviaryplatform.com/r/610vq2sm64,
,2020-Nov-12 16:00,2020-Nov-12 16:30,DigiPres Lightning Talks,https://2020clirevents.aviaryplatform.com/r/v11vd6pp4c,"Creating the right team for long-term digital preservation can be hard….really hard. Over several years, the United States Holocaust Memorial Museum assembled a “team of rivals” made up of internal staff experts and our preservation software vendor to implement a sustainable, well-support digital repository.|This poster presents the results of a survey on 3D and virtual reality preservation methods combined with the results of a multi-case study on 3D datasets at Virginia Tech University Libraries. These results culminated in a proposed 3D/VR preservation workflow employed by VTUL on a current 3D digitization project.|Adoption of digital preservation practices and technologies is on the rise, but planning for preservation is not what it used to be, especially for academic libraries. This session will explore the experiences of two archives and libraries in their move to a unified digital preservation system.|Fedora 6 will focus on digital preservation by aligning with the Oxford Common File Layout (OCFL). This presentation will provide an overview of the application design, including a brief introduction to the OCFL, along with a summary of development progress to date and the timeline for the 6.0 release.|The Frick Art Reference Library is systematically digitizing 1.2 million photographic images for access and preservation and is using lossless Jpeg-2000 as an archival format to keep their storage needs feasible. This introduces several challenges including new software proficiencies, compatibility issues, and swamping the preservation system.|This presentation examines how to scale digital preservation actions for collections comprising millions of objects, including working with stakeholders, automated packaging and ingest processes, and reporting options.|Software is ubiquitous worldwide, and ensuring its preservation is important. Adequately preserving and describing complex objects like source code, binaries, and hardware introduces major technical, social, and legal barriers. This panel will explore how staff preserving software create physical and digital workspaces to accomplish their goals.|Recovering data from legacy data tapes can be a daunting task. This lightening talk will explore the process of working with taped-based media through the traversal of a series of decisions that takes us from a box of mystery tapes to rescued data."
,2020-Nov-12 16:30,2020-Nov-12 16:45,DigiPres Closing Plenary,https://2020clirevents.aviaryplatform.com/r/hq3rv0df03,"For the closing plenary, conference vice-chair Tricia Patterson will reflect on the DigiPres 2020 program and everyone that contributed to crafting it - and look ahead at what the community can achieve together in the coming year."
,2020-Nov-13 11:00,2020-Nov-13 11:45,5 Years of Digitizing Hidden Collections: Funded Project Featurettes,https://2020clirevents.aviaryplatform.com/r/319s17t380,
,2020-Nov-13 12:00,2020-Nov-13 13:00,Successful Partnerships Lead to Successful Collaborations,https://2020clirevents.aviaryplatform.com/r/pv6b27qb3z,Participants from four different CLIR digitizing Hidden Collections projects will discuss their collaborations and partnerships.
,2020-Nov-13 14:00,2020-Nov-13 14:45,On Grant Writing and Project Design,https://2020clirevents.aviaryplatform.com/r/st7dr2pz6f,"CLIR Digitizing Hidden Collections review panelists and grant recipients come together to discuss the application and review process from both perspectives, exchanging questions and describing their experiences with the program."
,2020-Nov-13 15:00,2020-Nov-13 16:00,Networking Across and Managing Up,https://2020clirevents.aviaryplatform.com/r/930ns0m973,"The intention of this discussion is for the participants to share their experiences with increasing organizational capacity through partnerships with similarly positioned organizations, as well as fostering equitable community engagement. Additionally, we will discuss how to manage the expectations of funders and other stakeholders alongside project goals and organizational capacity."
,2020-Nov-13 16:00,2020-Nov-13 16:30,CLIR Coffee Break,,
,2020-Nov-13 16:30,2020-Nov-13 17:15,Collections in the Era of the Climate Crisis,https://2020clirevents.aviaryplatform.com/r/125q81522j,"This session brings together a climatologist, archivists, producers and researchers who have experienced the impacts of (un)natural disasters in the course of their work and who are working to preserve collections and expose historical data for climate modelling to generate greater awareness and understanding of the climate crisis."
,2020-Nov-13 13:00,2020-Nov-13 14:00,Lunchtime Coloring Break,,"Take a break from screens and connect with your inner child (or your actual child!) using free coloring sheets from public domain collections. It’s meditative, it’s a chance to add your own artistic twist to a classic image, and when you’re finished you can share your artwork with us and each other in the #colorourcollections Slack channel. Contributions by the whole family are encouraged; fulsome praise guaranteed."
